id,timestamp,topic,subtopic,bloom_level,question_stem,option_a,option_b,option_c,option_d,correct_answer,a_explanation,b_explanation,c_explanation,d_explanation,main_explanation,raw_model_response,retrieved_slide_files,retrieved_chunk_indices,eval_relevance,eval_bloom_alignment,eval_accuracy,eval_explainability,eval_justification
ba6bf88f-776b-47cb-ba86-5e7c401e5096,2025-11-25T06:42:54.388784,Java Fundamentals,Variables and data types,Remember,Which of the following is a valid way to declare and initialize a Java variable of type char?,char letter = 'A';,"char letter = ""A"";",char letter = A;,char letter = 'AB';,A,Correct. Single quotes are used to assign a char value in Java.,"Incorrect. Double quotes denote a String, not a char.",Incorrect. The value 'A' must be enclosed in single quotes for char.,"Incorrect. A char can only hold a single character, not two.","In Java, char variables must be assigned a single character enclosed in single quotes, as shown in option A.","Question: Which of the following is a valid way to declare and initialize a Java variable of type char?

Options:  
A) char letter = 'A';  
B) char letter = ""A"";  
C) char letter = A;  
D) char letter = 'AB';

Correct Answer: A

Option A explanation: Correct. Single quotes are used to assign a char value in Java.

Option B explanation: Incorrect. Double quotes denote a String, not a char.

Option C explanation: Incorrect. The value 'A' must be enclosed in single quotes for char.

Option D explanation: Incorrect. A char can only hold a single character, not two.

Main Explanation: In Java, char variables must be assigned a single character enclosed in single quotes, as shown in option A.

Tags: Java Fundamentals, Variables and data types, Remember","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,5,5,5,"This question directly assesses the fundamental concept of char variable declaration and initialization in Java, which is core to the Variables and data types subtopic. All four options represent common mistakes or the correct approach, making them effective distractors. The explanations are clear and specific, addressing why each option is correct or incorrect (single vs. double quotes, need for quotes, single character limitation). The cognitive demand perfectly matches the Remember level of Bloom's taxonomy, as it requires students to recall the syntax rules for char declaration without requiring analysis or application. The question is unambiguous with no technical errors in the answer key or explanations."
d5dfbc6f-533e-4435-a0ed-5fa2269ad411,2025-11-25T06:43:04.669601,Java Fundamentals,Variables and data types,Remember,Which of the following statements correctly declares and initializes a variable to store a single Unicode character in Java?,char letter = 'A';,String letter = 'A';,"char letter = ""A"";",int letter = 'A';,A,"Correct. 'A' in single quotes is a char literal, and 'char' is the correct data type.","Incorrect. String should use double quotes, and 'A' in single quotes is not a String literal.","Incorrect. ""A"" is a String literal, not a char, so the types do not match.","Incorrect. Although assigning 'A' to int is valid due to implicit casting, the question asks for storing a character.","In Java, single quotes denote char literals, and the char type is used to store single Unicode characters. Only option A matches both the correct type and syntax.","Question: Which of the following statements correctly declares and initializes a variable to store a single Unicode character in Java?

Options:
A) char letter = 'A';
B) String letter = 'A';
C) char letter = ""A"";
D) int letter = 'A';

Correct Answer: A

Option A explanation: Correct. 'A' in single quotes is a char literal, and 'char' is the correct data type.
Option B explanation: Incorrect. String should use double quotes, and 'A' in single quotes is not a String literal.
Option C explanation: Incorrect. ""A"" is a String literal, not a char, so the types do not match.
Option D explanation: Incorrect. Although assigning 'A' to int is valid due to implicit casting, the question asks for storing a character.

Main Explanation: In Java, single quotes denote char literals, and the char type is used to store single Unicode characters. Only option A matches both the correct type and syntax.

Tags: Java Fundamentals, Variables and data types, Remember","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,5,5,5,"The question directly assesses understanding of Java's char data type and literal syntax, which is fundamental to the Variables and Data Types subtopic. All options are technically accurate: A is correct (char with single quotes), B incorrectly uses single quotes with String type, C incorrectly uses double quotes with char type, and D is valid Java but doesn't answer the specific question about storing characters. The explanations clearly distinguish between char literals (single quotes) and String literals (double quotes), and explain why each distractor is incorrect. The cognitive demand appropriately matches the ""Remember"" level—students must recall the correct syntax and data type for character storage without requiring analysis or synthesis."
e96b2419-a80f-4224-818e-2413ad40989e,2025-11-25T06:43:20.845719,Java Fundamentals,Variables and data types,Remember,Which data type is best suited for storing the value 1234567890123 in Java?,int,long,float,short,B,Incorrect. int cannot store numbers as large as 1234567890123.,Correct. long can store large integers like 1234567890123.,Incorrect. float is used for fractional numbers and may lose precision.,Incorrect. short has a much smaller range than required.,"The long data type is designed for storing large integer values and accommodates the value 1234567890123, unlike int and short.","Question: Which data type is best suited for storing the value 1234567890123 in Java?

Options:  
A) int  
B) long  
C) float  
D) short  

Correct Answer: B

Option A explanation: Incorrect. int cannot store numbers as large as 1234567890123.  
Option B explanation: Correct. long can store large integers like 1234567890123.  
Option C explanation: Incorrect. float is used for fractional numbers and may lose precision.  
Option D explanation: Incorrect. short has a much smaller range than required.

Main Explanation: The long data type is designed for storing large integer values and accommodates the value 1234567890123, unlike int and short.

Tags: Java Fundamentals, Variables and data types, Remember","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,5,5,4,"The question directly assesses knowledge of Java primitive data types and their ranges, which is core to the Variables and data types subtopic. The correct answer (long) and distractors (int, short, float) are all technically accurate—int maxes out at 2,147,483,647, short at 32,767, float loses precision with large integers, and long accommodates values up to 9,223,372,036,854,775,807. The cognitive demand aligns well with ""Remember"" as it requires recalling data type ranges. Explanations are clear and specific, though the float explanation could be slightly more precise by mentioning that while float can technically store the value, it would lose precision due to its 32-bit representation and mantissa limitations."
7c0a88ac-c847-43fc-9bd7-43e466610480,2025-11-25T06:43:29.038044,Java Fundamentals,Variables and data types,Understand,Which of the following variable declarations will cause a compile-time error in Java?,int count = 10;,double price = 29.99;,char symbol = 'AB';,boolean isActive = false;,C,This is a valid declaration of an integer variable.,This is a valid declaration of a double variable.,"This is incorrect because a char can hold only a single character, not two.",This is a valid declaration of a boolean variable.,"In Java, the char data type stores a single character. Assigning more than one character to a char variable, as in option C, is not allowed and results in a compile-time error.","Question: Which of the following variable declarations will cause a compile-time error in Java?

Options:  
A) int count = 10;  
B) double price = 29.99;  
C) char symbol = 'AB';  
D) boolean isActive = false;  

Correct Answer: C

Option A explanation: This is a valid declaration of an integer variable.

Option B explanation: This is a valid declaration of a double variable.

Option C explanation: This is incorrect because a char can hold only a single character, not two.

Option D explanation: This is a valid declaration of a boolean variable.

Main Explanation: In Java, the char data type stores a single character. Assigning more than one character to a char variable, as in option C, is not allowed and results in a compile-time error.

Tags: Java Fundamentals, Variables and data types, Understand","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,4,5,5,"The question directly assesses understanding of Java's primitive data types and their constraints, which is core to the Variables and Data Types subtopic. All options are technically accurate—option C will indeed produce a compile-time error because char accepts only single characters. The explanations are clear and specific, correctly identifying why C fails and why others succeed. Bloom alignment is strong for ""Understand"" level, though the question borders on ""Apply"" since students must recognize and apply the constraint rule. The question effectively tests conceptual understanding of data type limitations rather than mere recall."
7bf4e0d4-d634-4e4e-8c19-ee938fa87fd9,2025-11-25T06:43:37.812483,Java Fundamentals,Variables and data types,Understand,"What is the result of compiling and running the following code snippet?
int num = 7.5;",The code compiles and assigns 7 to num.,The code compiles and assigns 7.5 to num.,Compilation error due to incompatible types.,The code compiles but throws a runtime exception.,C,Incorrect; implicit narrowing from double to int is not allowed.,"Incorrect; 7.5 is a double, but 'num' is declared as int, causing a compilation error.",Correct; assigning a double literal to an int variable without casting causes a compilation error.,"Incorrect; the error occurs during compilation, not at runtime.","In Java, assigning a floating-point literal to an int variable without explicit casting results in a compilation error because of incompatible data types.","Question: What is the result of compiling and running the following code snippet?
int num = 7.5;

Options:
A) The code compiles and assigns 7 to num.
B) The code compiles and assigns 7.5 to num.
C) Compilation error due to incompatible types.
D) The code compiles but throws a runtime exception.

Correct Answer: C

Option A explanation: Incorrect; implicit narrowing from double to int is not allowed.
Option B explanation: Incorrect; 7.5 is a double, but 'num' is declared as int, causing a compilation error.
Option C explanation: Correct; assigning a double literal to an int variable without casting causes a compilation error.
Option D explanation: Incorrect; the error occurs during compilation, not at runtime.

Main Explanation: In Java, assigning a floating-point literal to an int variable without explicit casting results in a compilation error because of incompatible data types.

Tags: Java Fundamentals, Variables and data types, Understand","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,4,5,5,"The question directly assesses understanding of Java's type system and implicit type conversion rules, which is core to the Variables and Data Types subtopic. All explanations are technically accurate and clearly distinguish why implicit narrowing is not allowed. The distractors effectively target common misconceptions (implicit conversion, runtime errors). Bloom alignment is strong for ""Understand"" level, though the question borders on ""Apply"" since students must recognize and apply type compatibility rules rather than just recall them. The question is well-constructed with clear, unambiguous answers and comprehensive explanations."
8f63829f-c8ac-4f6b-adbb-c64ecde966e3,2025-11-25T06:43:46.546630,Java Fundamentals,Variables and data types,Understand,Which of the following statements correctly declares and initializes a variable to store the average monthly temperature as a decimal value?,int averageTemp = 23.5;,double averageTemp = 23.5;,boolean averageTemp = 23.5;,char averageTemp = 23.5;,B,Incorrect; int cannot store decimal values.,Correct; double can store decimal values like 23.5.,Incorrect; boolean can only be true or false.,"Incorrect; char stores single characters, not numbers.","To store decimal values, the double data type should be used; int, boolean, and char are not suitable for storing decimal numbers.","Question: Which of the following statements correctly declares and initializes a variable to store the average monthly temperature as a decimal value?

Options:
A) int averageTemp = 23.5;
B) double averageTemp = 23.5;
C) boolean averageTemp = 23.5;
D) char averageTemp = 23.5;

Correct Answer: B

Option A explanation: Incorrect; int cannot store decimal values.
Option B explanation: Correct; double can store decimal values like 23.5.
Option C explanation: Incorrect; boolean can only be true or false.
Option D explanation: Incorrect; char stores single characters, not numbers.

Main Explanation: To store decimal values, the double data type should be used; int, boolean, and char are not suitable for storing decimal numbers.

Tags: Java Fundamentals, Variables and data types, Understand","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,4,5,5,"The question directly assesses understanding of Java primitive data types and their appropriate use cases, perfectly matching the stated topic and subtopic. All explanations are technically accurate and clear—each distractor represents a common misconception (int truncates decimals, boolean is logical, char is for characters). The explanations are concise and educational. Bloom alignment is strong for ""Understand"" level, though it could arguably touch ""Apply"" since students must select the correct type for a specific scenario; however, the straightforward nature keeps it solidly at Understand. The question is well-constructed with no ambiguity."
ea21a14b-229f-4e09-8cb2-d878835c7723,2025-11-25T06:43:54.226052,Java Fundamentals,Variables and data types,Apply,"What will be the output of the following Java code?

```java
int x = 5;
double y = 2;
double result = x / y;
System.out.println(result);
```",2.0,2.5,2,Compilation error,B,"Incorrect. Dividing 5 by 2 using doubles produces 2.5, not 2.0.",Correct. `x / y` performs floating-point division resulting in 2.5.,"Incorrect. Integer division only occurs if both operands are integers, which is not the case here.",Incorrect. The code compiles without errors.,"The division involves a double, so Java performs floating-point division, resulting in 2.5 being printed.","Question: What will be the output of the following Java code?

```java
int x = 5;
double y = 2;
double result = x / y;
System.out.println(result);
```

Options:
A) 2.0
B) 2.5
C) 2
D) Compilation error

Correct Answer: B

Option A explanation: Incorrect. Dividing 5 by 2 using doubles produces 2.5, not 2.0.
Option B explanation: Correct. `x / y` performs floating-point division resulting in 2.5.
Option C explanation: Incorrect. Integer division only occurs if both operands are integers, which is not the case here.
Option D explanation: Incorrect. The code compiles without errors.

Main Explanation: The division involves a double, so Java performs floating-point division, resulting in 2.5 being printed.

Tags: Java Fundamentals, Variables and data types, Apply","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,4,5,5,"The question directly assesses understanding of Java's type system and arithmetic operations with mixed data types, which is core to the Variables and Data Types subtopic. All explanations are technically accurate and clearly distinguish why each distractor is wrong. The question effectively tests the ability to apply knowledge of type promotion and floating-point division rules. Bloom alignment is strong (Apply level) as students must predict output by applying their understanding of type coercion and division behavior, though it leans slightly toward lower-order application rather than requiring deeper problem-solving or analysis."
3e192c05-6158-4702-8ab5-ec9e2a27b40e,2025-11-25T06:44:04.466739,Java Fundamentals,Variables and data types,Apply,"What is the output of the following code snippet?

```java
int a = 5;
double b = 4.5;
a += b;
System.out.println(a);
```",9.5,9,5,Compilation error,B,Incorrect. The `+=` operator performs implicit casting; the result is assigned as an integer.,"Correct. `a += b;` adds 4.5 to 5 (result is 9.5), but assigns the integer part (9) to `a`.","Incorrect. `a` is updated, not left as 5.",Incorrect. There is no compilation error; implicit casting is allowed in compound assignment.,"In Java, `a += b;` is equivalent to `a = (int)(a + b);`. The sum is 9.5, but only the integer part (9) is stored in `a`, so the output is 9.","Question: What is the output of the following code snippet?

```java
int a = 5;
double b = 4.5;
a += b;
System.out.println(a);
```

Options:
A) 9.5
B) 9
C) 5
D) Compilation error

Correct Answer: B

Option A explanation: Incorrect. The `+=` operator performs implicit casting; the result is assigned as an integer.
Option B explanation: Correct. `a += b;` adds 4.5 to 5 (result is 9.5), but assigns the integer part (9) to `a`.
Option C explanation: Incorrect. `a` is updated, not left as 5.
Option D explanation: Incorrect. There is no compilation error; implicit casting is allowed in compound assignment.

Main Explanation: In Java, `a += b;` is equivalent to `a = (int)(a + b);`. The sum is 9.5, but only the integer part (9) is stored in `a`, so the output is 9.

Tags: Java Fundamentals, Variables and data types, Apply","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,4,5,5,"The question directly assesses understanding of type casting, compound assignment operators, and implicit type conversion—core concepts in the Variables and Data Types subtopic. It is technically accurate with correct answer and distractors that represent common misconceptions (forgetting about casting, thinking no change occurs, or expecting a compilation error). Explanations are clear and specific, correctly identifying that `a += b` is equivalent to `a = (int)(a + b)`. Bloom alignment is strong at the ""Apply"" level, as students must apply knowledge of type casting rules and operator behavior to predict output, though it borders on ""Understand"" since it primarily tests recall of implicit casting behavior rather than requiring deeper problem-solving or synthesis."
07bb1652-44a4-4c67-a03e-a61d545b5d5e,2025-11-25T06:44:14.504232,Java Fundamentals,Variables and data types,Apply,"Given the following code, what is the value of result after execution?

```java
int a = 7;
double b = 2.5;
int result = (int)(a / b);
```",2,3,2.8,3.0,B,"Incorrect. `a / b` yields 2.8, but casting to int truncates, not rounds.",Correct. `a / b` is 2.8; casting to int gives 2.,"Incorrect. The result variable is of type int, not double.","Incorrect. 3.0 is a double, and the correct truncated value is 2.","Dividing an int by a double yields a double (2.8). Casting this result to int truncates the decimal, resulting in 2.","Question: Given the following code, what is the value of result after execution?

```java
int a = 7;
double b = 2.5;
int result = (int)(a / b);
```

Options:
A) 2
B) 3
C) 2.8
D) 3.0

Correct Answer: B

Option A explanation: Incorrect. `a / b` yields 2.8, but casting to int truncates, not rounds.
Option B explanation: Correct. `a / b` is 2.8; casting to int gives 2.
Option C explanation: Incorrect. The result variable is of type int, not double.
Option D explanation: Incorrect. 3.0 is a double, and the correct truncated value is 2.

Main Explanation: Dividing an int by a double yields a double (2.8). Casting this result to int truncates the decimal, resulting in 2.

Tags: Java Fundamentals, Variables and data types, Apply","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,4,2,3,"The question is highly relevant to Java fundamentals and type conversion. However, there is a critical accuracy error: the correct answer should be A (2), not B (3). The division 7 / 2.5 = 2.8, and casting to int truncates to 2. The provided correct answer of B (3) is mathematically incorrect. The explanations contain contradictory information—Option B's explanation correctly states the answer is 2, yet claims B is correct when B states 3. This creates significant confusion. The question appropriately targets the Apply level by requiring students to predict output through type conversion mechanics. The explanations are generally clear but undermined by the fundamental error in the answer key."
151c95a1-79df-48fe-b443-483d84d86642,2025-11-25T07:02:00.208424,Java Fundamentals,Variables and data types,Remember,Which of the following variable declarations correctly assigns a character value in Java?,char letter = 'A';,"char letter = ""A"";",char letter = A;,char letter = 65.0;,A,"This correctly assigns the character 'A' using single quotes, which is the proper syntax for char.","Incorrect, as double quotes denote a String, not a char.","Incorrect, as the character literal 'A' must be in single quotes.","Incorrect, as 65.0 is a double, not a valid char literal.","In Java, char values are represented with single quotes around a single character, such as 'A'. Double quotes are for String values, and numeric or unquoted values do not match the char type requirements.","Question: Which of the following variable declarations correctly assigns a character value in Java?

Options:  
A) char letter = 'A';  
B) char letter = ""A"";  
C) char letter = A;  
D) char letter = 65.0;

Correct Answer: A

Option A explanation: This correctly assigns the character 'A' using single quotes, which is the proper syntax for char.
Option B explanation: Incorrect, as double quotes denote a String, not a char.
Option C explanation: Incorrect, as the character literal 'A' must be in single quotes.
Option D explanation: Incorrect, as 65.0 is a double, not a valid char literal.

Main Explanation: In Java, char values are represented with single quotes around a single character, such as 'A'. Double quotes are for String values, and numeric or unquoted values do not match the char type requirements.

Tags: Java Fundamentals, Variables and data types, Remember","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,5,5,5,"This question directly assesses understanding of Java's char data type and literal syntax, which is fundamental to the Variables and data types subtopic. The correct answer (A) uses proper single-quote syntax for char literals. All distractors are technically accurate misconceptions: Option B uses double quotes (String syntax), Option C omits quotes entirely (syntax error), and Option D uses a double value (type mismatch). The explanations are clear and specific, distinguishing between char, String, and numeric types. The cognitive demand appropriately matches the ""Remember"" level—students must recall the correct syntax for char declarations without requiring analysis or application. The question is unambiguous with no edge cases or alternative valid answers."
