id,timestamp,topic,subtopic,bloom_level,question_stem,option_a,option_b,option_c,option_d,correct_answer,a_explanation,b_explanation,c_explanation,d_explanation,main_explanation,raw_model_response,retrieved_slide_files,retrieved_chunk_indices,eval_relevance,eval_bloom_alignment,eval_accuracy,eval_explainability,eval_justification
a5853f71-fb66-4892-99f4-4162e885f74f,2025-11-25T12:09:25.855329,Java Fundamentals,Variables and data types,Remember,Which of the following is the correct declaration and initialization of a double variable in Java?,"double price = ""19.99"";",double price = 19.99;,"double price = 19,99;",double price = 19;,B,"Incorrect; the value ""19.99"" is a String, not a double.",Correct; 19.99 is a valid double literal assigned to a double variable.,Incorrect; commas cannot be used as decimal separators in Java literals.,"Incorrect; while 19 is valid, it is an int literal; declaring it as double without decimal is discouraged for clarity.","In Java, a double variable should be assigned a numeric value using a period as the decimal separator, such as 19.99. Option B follows proper syntax and data type usage.","Question: Which of the following is the correct declaration and initialization of a double variable in Java?

Options:
A) double price = ""19.99"";
B) double price = 19.99;
C) double price = 19,99;
D) double price = 19;

Correct Answer: B

Option A explanation: Incorrect; the value ""19.99"" is a String, not a double.
Option B explanation: Correct; 19.99 is a valid double literal assigned to a double variable.
Option C explanation: Incorrect; commas cannot be used as decimal separators in Java literals.
Option D explanation: Incorrect; while 19 is valid, it is an int literal; declaring it as double without decimal is discouraged for clarity.

Main Explanation: In Java, a double variable should be assigned a numeric value using a period as the decimal separator, such as 19.99. Option B follows proper syntax and data type usage.

Tags: Java Fundamentals, Variables and data types, Remember","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,5,4,4,"The question directly assesses understanding of double variable declaration and initialization, which is core to the Variables and data types subtopic. All options are plausible distractors that test common mistakes (type mismatch, incorrect decimal separator, implicit casting). The correct answer is unambiguous. Explanations are clear and educational. Bloom alignment is appropriate for ""Remember"" level—students must recall correct syntax. Minor accuracy concern: Option D's explanation states the int literal ""is discouraged for clarity,"" but Java actually allows implicit widening conversion from int to double, so this is technically permitted, not discouraged by the language itself (though best practice may vary by style guide). This slight imprecision in explanation prevents a perfect accuracy rating."
b9b04c1a-de07-4470-b520-54d6f15833bd,2025-11-25T12:09:34.366731,Java Fundamentals,Variables and data types,Remember,Which variable declaration correctly creates a variable that can store the value 3.14 in Java?,int value = 3.14;,double value = 3.14;,char value = 3.14;,boolean value = 3.14;,B,Incorrect. 'int' cannot store decimal values; this will cause a compilation error.,Correct. 'double' is designed to store floating-point numbers like 3.14.,"Incorrect. 'char' stores a single character, not a number with decimals.","Incorrect. 'boolean' can only store true or false, not numeric values.","The 'double' data type is used in Java to store decimal (floating-point) numbers, such as 3.14. Other types like int, char, and boolean cannot store such values.","Question: Which variable declaration correctly creates a variable that can store the value 3.14 in Java?

Options:
A) int value = 3.14;
B) double value = 3.14;
C) char value = 3.14;
D) boolean value = 3.14;

Correct Answer: B

Option A explanation: Incorrect. 'int' cannot store decimal values; this will cause a compilation error.
Option B explanation: Correct. 'double' is designed to store floating-point numbers like 3.14.
Option C explanation: Incorrect. 'char' stores a single character, not a number with decimals.
Option D explanation: Incorrect. 'boolean' can only store true or false, not numeric values.

Main Explanation: The 'double' data type is used in Java to store decimal (floating-point) numbers, such as 3.14. Other types like int, char, and boolean cannot store such values.

Tags: Java Fundamentals, Variables and data types, Remember","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,5,5,5,"This question directly assesses understanding of Java primitive data types and their appropriate use cases, which is fundamental to the Variables and Data Types subtopic. The correct answer (B) is unambiguous and technically accurate—double is the appropriate type for storing decimal values like 3.14. All distractors are technically sound and represent common misconceptions: int cannot store decimals (compilation error), char stores single characters, and boolean stores only true/false values. The explanations are clear and specific, correctly identifying why each option fails or succeeds. The cognitive demand aligns perfectly with the ""Remember"" level of Bloom's taxonomy, as it requires students to recall the appropriate data type for a given value without requiring analysis or application."
686f24a6-2815-4eff-830b-b3b604ba4894,2025-11-25T12:09:43.409285,Java Fundamentals,Variables and data types,Remember,Which of the following data types in Java is used to store a single 16-bit Unicode character?,char,byte,int,short,A,Correct. The 'char' type stores a single 16-bit Unicode character.,"Incorrect. 'byte' stores 8-bit signed integers, not characters.","Incorrect. 'int' stores 32-bit signed integers, not characters.","Incorrect. 'short' stores 16-bit signed integers, not characters.","In Java, 'char' represents a single 16-bit Unicode character, enabling support for a wide range of global characters.","Question: Which of the following data types in Java is used to store a single 16-bit Unicode character?

Options:
A) char
B) byte
C) int
D) short

Correct Answer: A

Option A explanation: Correct. The 'char' type stores a single 16-bit Unicode character.
Option B explanation: Incorrect. 'byte' stores 8-bit signed integers, not characters.
Option C explanation: Incorrect. 'int' stores 32-bit signed integers, not characters.
Option D explanation: Incorrect. 'short' stores 16-bit signed integers, not characters.

Main Explanation: In Java, 'char' represents a single 16-bit Unicode character, enabling support for a wide range of global characters.

Tags: Java Fundamentals, Variables and data types, Remember","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,5,5,5,"The question directly assesses knowledge of Java primitive data types, specifically char, which is core to the Variables and data types subtopic. All options are technically accurate—char is indeed 16-bit Unicode, byte is 8-bit signed integer, int is 32-bit signed integer, and short is 16-bit signed integer. The distractors are plausible (short shares the 16-bit size, byte and int are common numeric types) without being misleading. Explanations are clear and concise, correctly identifying why each option is right or wrong. The question perfectly aligns with Bloom's Remember level, requiring only factual recall of Java data type specifications with no analysis or application required."
59de243d-384e-47f5-9ee7-5eb8a9f5740b,2025-11-25T12:09:52.781701,Java Fundamentals,Variables and data types,Understand,"What is the result of compiling and running the following code snippet?

int x = 5;
double y = 2;
System.out.println(x / y);",2,2.0,2.5,Compilation error,C,"Incorrect; this is integer division, but y is a double, so the result is not an int.","Incorrect; while the result is a double, the precise value is 2.5, not 2.0.",Correct; dividing an int by a double results in a double value 2.5.,Incorrect; the code compiles without error.,"When an int is divided by a double, Java automatically promotes the int to double, so 5 / 2.0 equals 2.5 and is printed as such.","Question: What is the result of compiling and running the following code snippet?

int x = 5;
double y = 2;
System.out.println(x / y);

Options:
A) 2
B) 2.0
C) 2.5
D) Compilation error

Correct Answer: C

Option A explanation: Incorrect; this is integer division, but y is a double, so the result is not an int.
Option B explanation: Incorrect; while the result is a double, the precise value is 2.5, not 2.0.
Option C explanation: Correct; dividing an int by a double results in a double value 2.5.
Option D explanation: Incorrect; the code compiles without error.

Main Explanation: When an int is divided by a double, Java automatically promotes the int to double, so 5 / 2.0 equals 2.5 and is printed as such.

Tags: Java Fundamentals, Variables and data types, Understand","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,4,5,5,"The question directly assesses understanding of type promotion and arithmetic operations with mixed numeric types, which is core to the Variables and Data Types subtopic. All explanations are technically accurate and clearly distinguish why each distractor is wrong. The cognitive demand slightly exceeds ""Understand"" level as it requires students to predict behavior based on type promotion rules rather than simply recalling definitions, placing it closer to lower-level ""Apply,"" but remains appropriate for assessing conceptual understanding of type coercion."
2c4174ae-b4ef-4713-883e-04bd3d2fa96b,2025-11-25T12:10:02.322969,Java Fundamentals,Variables and data types,Understand,What is the result of compiling and running the code: int x = 10.0;?,The code compiles and assigns x the value 10.,The code does not compile due to incompatible types.,The code compiles but throws a runtime exception.,The code compiles and assigns x the value 10.0.,B,Incorrect; a double literal cannot be assigned directly to an int without a cast.,Correct; Java will give a compilation error due to incompatible types.,Incorrect; compilation fails before any runtime behavior occurs.,Incorrect; 10.0 is a double and cannot be directly stored in an int variable.,"In Java, assigning a double (10.0) to an int variable without explicit casting causes a compilation error due to type incompatibility.","Question: What is the result of compiling and running the code: int x = 10.0;?

Options:
A) The code compiles and assigns x the value 10.
B) The code does not compile due to incompatible types.
C) The code compiles but throws a runtime exception.
D) The code compiles and assigns x the value 10.0.

Correct Answer: B

Option A explanation: Incorrect; a double literal cannot be assigned directly to an int without a cast.

Option B explanation: Correct; Java will give a compilation error due to incompatible types.

Option C explanation: Incorrect; compilation fails before any runtime behavior occurs.

Option D explanation: Incorrect; 10.0 is a double and cannot be directly stored in an int variable.

Main Explanation: In Java, assigning a double (10.0) to an int variable without explicit casting causes a compilation error due to type incompatibility.

Tags: Java Fundamentals, Variables and data types, Understand","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,5,5,5,"The question directly assesses understanding of Java's type system and implicit type conversion rules, which is core to the Variables and Data Types subtopic. The correct answer (B) is technically accurate—Java requires explicit casting to assign a double literal to an int variable. All distractors are plausible misconceptions: Option A represents a common misunderstanding about automatic narrowing conversions; Option C confuses compile-time errors with runtime exceptions; Option D misunderstands how Java stores values. The explanations are clear and specific, correctly identifying why each option is right or wrong. The cognitive demand aligns well with ""Understand"" level—students must recognize type incompatibility and recall Java's type safety rules, rather than simply memorizing or applying procedures."
442f5e42-45db-4796-b1d6-ac544f975acf,2025-11-25T12:10:12.578317,Java Fundamentals,Variables and data types,Understand,Which statement about Java variables and their initialization is correct?,Local variables are automatically initialized to default values.,Instance variables of a class must be explicitly initialized before use.,Static variables are initialized to default values if not explicitly assigned.,Final variables can be reassigned after initialization.,C,Incorrect. Local variables must be explicitly initialized before use; they have no default values.,Incorrect. Instance variables are automatically initialized to default values if not explicitly set.,Correct. Static variables are initialized to their default values if not explicitly assigned.,Incorrect. Final variables cannot be reassigned after they are initialized.,"In Java, static variables (like instance variables) receive default values if not explicitly assigned. Local variables do not, and final variables are assigned only once.","Question: Which statement about Java variables and their initialization is correct?

Options:
A) Local variables are automatically initialized to default values.
B) Instance variables of a class must be explicitly initialized before use.
C) Static variables are initialized to default values if not explicitly assigned.
D) Final variables can be reassigned after initialization.

Correct Answer: C

Option A explanation: Incorrect. Local variables must be explicitly initialized before use; they have no default values.

Option B explanation: Incorrect. Instance variables are automatically initialized to default values if not explicitly set.

Option C explanation: Correct. Static variables are initialized to their default values if not explicitly assigned.

Option D explanation: Incorrect. Final variables cannot be reassigned after they are initialized.

Main Explanation: In Java, static variables (like instance variables) receive default values if not explicitly assigned. Local variables do not, and final variables are assigned only once.

Tags: Java Fundamentals, Variables and data types, Understand","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,4,5,4,"The question directly assesses understanding of Java variable initialization rules across different variable types (local, instance, static, final), which is core to the stated subtopic. All explanations are technically accurate and the distractors effectively target common misconceptions. The question appropriately tests comprehension-level understanding by requiring students to distinguish between initialization behaviors of different variable types. Bloom alignment is strong (Understand level) though the question borders on Apply level due to requiring discrimination among multiple related concepts. Explanations are clear but could be slightly more detailed regarding why each rule exists (e.g., mentioning memory allocation timing for static vs. local variables)."
bfe556ca-ac29-487f-9c03-029fc89ca9a9,2025-11-25T12:10:21.944919,Java Fundamentals,Variables and data types,Apply,"What is the value of variable y after executing the following code?
int x = 7;
double y = x / 2;",3,3.5,3.0,3.00,C,"Incorrect. 7/2 is 3, but y is double, so 3 is not the value stored.","Incorrect. Division is integer division, not floating-point division.","Correct. x / 2 yields 3 (integer division), which is assigned as 3.0 to y.",Incorrect. 3.00 is not a distinct double value in Java; it’s represented as 3.0.,"In Java, dividing two integers results in integer division. The result (3) is then stored as 3.0 in the double variable y.","Question: What is the value of variable y after executing the following code?
int x = 7;
double y = x / 2;

Options:
A) 3
B) 3.5
C) 3.0
D) 3.00

Correct Answer: C

Option A explanation: Incorrect. 7/2 is 3, but y is double, so 3 is not the value stored.
Option B explanation: Incorrect. Division is integer division, not floating-point division.
Option C explanation: Correct. x / 2 yields 3 (integer division), which is assigned as 3.0 to y.
Option D explanation: Incorrect. 3.00 is not a distinct double value in Java; it’s represented as 3.0.

Main Explanation: In Java, dividing two integers results in integer division. The result (3) is then stored as 3.0 in the double variable y.

Tags: Java Fundamentals, Variables and data types, Apply","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,3,5,5,"The question directly assesses understanding of Java's type system and integer division behavior, which are core fundamentals of variables and data types. All explanations are technically accurate and clear. However, the Bloom level is misaligned—this question primarily tests ""Understand"" (recognizing that integer division occurs before assignment) rather than ""Apply"" (using this knowledge to solve a problem). The question requires recall and comprehension of Java's type coercion rules, not application of concepts to new situations. The distractors effectively target common misconceptions (floating-point division, type conversion confusion, and notation differences)."
a8aeae92-92fb-4f1c-8831-630bfa7db93d,2025-11-25T12:10:31.479302,Java Fundamentals,Variables and data types,Apply,"What is the output of the following code snippet?

```java
int x = 5;
double y = 2;
double result = x / y;
System.out.println(result);
```",2.0,2.5,2,2.00,B,"Incorrect. 5 divided by 2 as doubles is 2.5, not 2.0.","Correct. Division between int and double yields a double value, so 5 / 2 = 2.5.","Incorrect. This would be the result of integer division, but the divisor is double.","Incorrect. Though 2.00 is numerically equal to 2.0, the output is 2.5.","When dividing an int by a double, Java promotes the int to a double, and floating-point division occurs. Therefore, `result` is 2.5.","Question: What is the output of the following code snippet?

```java
int x = 5;
double y = 2;
double result = x / y;
System.out.println(result);
```

Options:
A) 2.0
B) 2.5
C) 2
D) 2.00

Correct Answer: B

Option A explanation: Incorrect. 5 divided by 2 as doubles is 2.5, not 2.0.

Option B explanation: Correct. Division between int and double yields a double value, so 5 / 2 = 2.5.

Option C explanation: Incorrect. This would be the result of integer division, but the divisor is double.

Option D explanation: Incorrect. Though 2.00 is numerically equal to 2.0, the output is 2.5.

Main Explanation: When dividing an int by a double, Java promotes the int to a double, and floating-point division occurs. Therefore, `result` is 2.5.

Tags: Java Fundamentals, Variables and data types, Apply","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,4,5,5,"The question directly assesses understanding of type promotion and arithmetic operations with mixed int/double operands, which is core to the Variables and Data Types subtopic. All explanations are technically accurate and clearly distinguish why each distractor is wrong. The question requires students to apply knowledge of type casting rules to predict output, aligning well with Bloom's Apply level, though it borders on Understand since the concept is relatively straightforward once type promotion is known. The correct answer and all distractors are unambiguous."
dd008f9d-27d2-4147-92f2-11673b482dd2,2025-11-25T12:10:39.849246,Java Fundamentals,Variables and data types,Apply,"What is the output of the following Java code snippet?

```java
int a = 5;
double b = 2;
double result = a / b;
System.out.println(result);
```",2.0,2.5,2,2.00,B,Incorrect; this would be the output if integer division was performed.,Correct; dividing int by double results in double division (5/2 = 2.5).,"Incorrect; this is integer division, but result is assigned to double.","Incorrect; though 2.5 could be displayed as 2.00, `println` prints 2.5 by default.","In Java, dividing an int by a double promotes the int to double, so 5 / 2 is 2.5, and `println` outputs 2.5.","Question: What is the output of the following Java code snippet?

```java
int a = 5;
double b = 2;
double result = a / b;
System.out.println(result);
```

Options:
A) 2.0
B) 2.5
C) 2
D) 2.00

Correct Answer: B

Option A explanation: Incorrect; this would be the output if integer division was performed.
Option B explanation: Correct; dividing int by double results in double division (5/2 = 2.5).
Option C explanation: Incorrect; this is integer division, but result is assigned to double.
Option D explanation: Incorrect; though 2.5 could be displayed as 2.00, `println` prints 2.5 by default.

Main Explanation: In Java, dividing an int by a double promotes the int to double, so 5 / 2 is 2.5, and `println` outputs 2.5.

Tags: Java Fundamentals, Variables and data types, Apply","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,4,5,5,"The question directly assesses understanding of type promotion and arithmetic operations in Java, which are core fundamentals of variables and data types. All explanations are technically accurate and clear. The distractors effectively target common misconceptions (integer division, formatting). The Bloom level is slightly below ""Apply"" as it's more ""Understand"" (recognizing type promotion behavior) rather than applying concepts to solve new problems, though it does require applying knowledge of type coercion rules to predict output."
8a150b74-2d16-406f-ab18-574a871ec727,2025-11-25T12:10:50.473448,Java Fundamentals,Variables and data types,Analyze,"What will be the output of the following code snippet?

```java
byte b = 120;
int result = b + 10;
System.out.println((byte) result);
```",130,-126,120,Compilation error,B,Incorrect. 130 cannot be stored directly in a byte variable due to overflow.,"Correct. (byte) 130 overflows, resulting in -126.",Incorrect. The computation changes the value; it does not remain 120.,Incorrect. There’s no compilation error; casting handles the assignment.,"In Java, adding 120 (byte) and 10 (int) gives 130 (int). Casting 130 to byte causes overflow, producing -126 due to the byte’s value range (-128 to 127).","Question: What will be the output of the following code snippet?

```java
byte b = 120;
int result = b + 10;
System.out.println((byte) result);
```

Options:
A) 130
B) -126
C) 120
D) Compilation error

Correct Answer: B

Option A explanation: Incorrect. 130 cannot be stored directly in a byte variable due to overflow.
Option B explanation: Correct. (byte) 130 overflows, resulting in -126.
Option C explanation: Incorrect. The computation changes the value; it does not remain 120.
Option D explanation: Incorrect. There’s no compilation error; casting handles the assignment.

Main Explanation: In Java, adding 120 (byte) and 10 (int) gives 130 (int). Casting 130 to byte causes overflow, producing -126 due to the byte’s value range (-128 to 127).

Tags: Java Fundamentals, Variables and data types, Analyze","Leccture1-java-review.pptx, comp1050-sp2022-lecture2-objects-and-classes.pptx","1505, 8, 10, 3",5,4,5,5,"The question directly assesses understanding of Java data types, type casting, and numeric overflow—core fundamentals of variables and data types. It requires students to analyze the type promotion rules (byte + int → int), understand byte range constraints (-128 to 127), and trace through the overflow mechanism to predict output, which aligns well with the Analyze level (though it borders on Apply since students primarily need to recall and apply known rules rather than break down complex relationships). The correct answer and all distractors are technically accurate: 130 genuinely overflows to -126 in two's complement representation, making Option B correct. The explanations are clear and specific, correctly identifying why each option is right or wrong and explaining the two's complement overflow mechanism. The question is well-constructed for assessing this important concept."
